pl_name,pl_altname,hd_name,hip_name,tic_id,gaia_id,image,caption,sy_constellation,sy_planet_count,sy_snum,sy_mnum,cb_flag,st_name,st_epoch,st_right_ascension,st_declination,st_distance,st_spectral_type,st_apparent_magnitude,st_luminosity,st_mass,st_radius,st_variability,st_metallicity,st_age,pl_semi_major_axis,pl_periastron,pl_apoastron,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_epoch,pl_projobliq,pl_trueobliq,pl_imppar,pl_ratdor,pl_ratror,pl_mass,pl_mass_earth,pl_minimum_mass,pl_radius,pl_radius_earth,pl_density,pl_gravity,pl_rotation_period,pl_temperature,pl_insolation_flux,pl_transit_depth,pl_occultation_depth,pl_albedo_bond,pl_pressure,pl_composition,pl_wind_speed,pl_ntranspec,pl_nespec,pl_ndispec,disc_by,disc_program,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,disc_pubdate,pl_controv_flag,tran_flag,rv_flag,ttv_flag,ast_flag,micro_flag,pul_flag,pre_discovery,detection_type,status
2MASS J21252752-8138278 b,,,,,,,,Octant,1,1,,0,2MASS J21252752-8138278,,21/25/27.91,-81/38/29.36,"ValueWithUncertainty(value=34.1154, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=11.804, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.643977, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=7493.0, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=220000.0, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,"ValueWithUncertainty(value=12.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3813.940884, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11.0, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1616.0, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,,,,,,,,,,,
HD 63935 c,,,,,,,,Petit Chien,2,1,,0,HD 63935,,07/51/41.91,+09/23/06.87,"ValueWithUncertainty(value=48.9739, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=8.58, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.9406, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.107, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.148, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=21.4027, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.02, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88.241, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=90.0, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=0.03492451, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11.1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.273398, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.06451296, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.11, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=619.59, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=36.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0960754, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Radial Velocity,2021,Multiple Observatories,,,,,,,,,,,,,
Kepler-123 b,,,,,,,,Cygne,2,1,,0,Kepler-123,,19/47/59.66,+42/46/55.07,"ValueWithUncertainty(value=1021.66, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=14.129, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.079, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.08, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.135, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=17.232366, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.132, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.17, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.174, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=55.3, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.262, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.94, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.0, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=817.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=138.807, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05098, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2014,Kepler,,,,,,,,,,,,,
KMT-2019-BLG-0335L b,,,,,,,,Ophiucus,1,1,,0,KMT-2019-BLG-0335L,,17/31/21.63,-29/35/26.48,"ValueWithUncertainty(value=7710.0, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.32, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=1.64, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.213, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,"ValueWithUncertainty(value=21.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6674.396547, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.08, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=20.7, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Microlensing,2023,KMTNet,,,,,,,,,,,,,
OGLE-2011-BLG-0265L b,,,,,,,,Sagittaire,1,1,,0,OGLE-2011-BLG-0265L,,17/57/47.72,-27/23/40.3,"ValueWithUncertainty(value=4380.0, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.211, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=1.89, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.432, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,"ValueWithUncertainty(value=0.88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=280.0, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.24, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13.9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.573, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Microlensing,2015,OGLE,,,,,,,,,,,,,
GJ 3323 c,,,,,,,,Éridan,2,1,,0,GJ 3323,,05/01/56.85,-06/56/54.65,"ValueWithUncertainty(value=5.37484, error_positive=None, error_negative=None, sign=None)",M4,"ValueWithUncertainty(value=12.57, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.164, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.27, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.1264, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=40.54, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=23.5, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,"ValueWithUncertainty(value=0.00726804, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0072680363716452, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.118, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.32, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.52, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.17, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,Radial Velocity,2017,La Silla Observatory,,,,,,,,,,,,,
Kepler-1104 b,,,,,,,,Cygne,1,1,,0,Kepler-1104,,19/37/52.44,+49/19/51.52,"ValueWithUncertainty(value=530.658, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=12.125, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.3, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.04, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.06321, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.03728015, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.119, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=80.72, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00642, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.10973325, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6.02, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1321.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=813.524, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00784, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
HD 28185 b,,,,,,,,Éridan,2,1,,0,HD 28185,,04/26/26.41,-10/33/03.87,"ValueWithUncertainty(value=39.3809, error_positive=None, error_negative=None, sign=None)",G5,"ValueWithUncertainty(value=7.8, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.99, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.2272, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.035, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.055, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=385.52775, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=26.3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2452262.394, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=356.596, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=5.837, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5.837, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.86, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Radial Velocity,2001,La Silla Observatory,,,,,,,,,,,,,
Kepler-158 d,,,,,,,,Lyre,3,1,,0,Kepler-158,,18/56/07.77,+39/46/53.53,"ValueWithUncertainty(value=315.177, error_positive=None, error_negative=None, sign=None)",K,"ValueWithUncertainty(value=14.743, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.656, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13.9, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.645088, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,"ValueWithUncertainty(value=0.000148, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0383621, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.43, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.26, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Transit,2024,Kepler,,,,,,,,,,,,,
TOI-3362 b,,,,,,,,Voile,1,1,,0,TOI-3362,,10/23/56.19,-56/50/35.22,"ValueWithUncertainty(value=366.987, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=10.86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.445, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.017, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.153, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.815, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=18.09547, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.417, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=50.873, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=5.029, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1598.359058803, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.142, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.80065596, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.19, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=688.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=37.2117, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.41, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
Kepler-58 e,,,,,,,,Cygne,4,1,,0,Kepler-58,,19/45/26.07,+39/06/54.73,"ValueWithUncertainty(value=969.252, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=15.086, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.017, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0533, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.45814897, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.055, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=84.65, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=1.88087656, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=597.796, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.14363483, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.61, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=131.0, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1212.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=511.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01881, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2023,Kepler,,,,,,,,,,,,,
HD 107148 c,,,,,,,,Vierge,2,2,,0,HD 107148,,12/19/13.43,-03/19/11.97,"ValueWithUncertainty(value=49.4156, error_positive=None, error_negative=None, sign=None)",G5 V,"ValueWithUncertainty(value=8.01, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.105215, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.2964, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1407, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.34, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=18.3267, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.85, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-44.6907, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=0.0626, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0626, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.42, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.05, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Radial Velocity,2021,Multiple Observatories,,,,,,,,,,,,,
TOI-2768 b,,,,,,,,Grand Chien,1,1,,0,TOI-2768,,06/37/27.39,-15/28/52.33,"ValueWithUncertainty(value=78.4525, error_positive=None, error_negative=None, sign=None)",M,"ValueWithUncertainty(value=12.66, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.63, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.027, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=1.50801, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.344, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87.78, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.0233, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.23463329, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.63, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.24, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=855.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=89.0458, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.179, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
TOI-5108 b,,,,,,,,Lion,1,1,,0,TOI-5108,,11/05/04.68,+11/14/47.06,"ValueWithUncertainty(value=130.919, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=9.75, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.073, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=6.753581, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.558, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85.91, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.10068326, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=32.0, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.58881358, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.6, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1180.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=122.785, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.174, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
TOI-6255 b,,,,,,,,Lézard,1,1,,0,TOI-6255,,22/06/00.76,+39/17/55.78,"ValueWithUncertainty(value=20.3167, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=12.747, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.353, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.14, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.23818244, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=74.4, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00453075, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.44, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0962621, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.079, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6.3, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1256.46, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=588.9944, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.04939764, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
Kepler-278 b,,,,,,,,Lyre,2,1,,0,Kepler-278,,19/20/25.73,+38/42/08.17,"ValueWithUncertainty(value=443.03, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=11.811, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.414, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.2713, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.72, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.207, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.04, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=30.160546, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.467, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87.47, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.049, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.363, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.07, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.27, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=836.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=99.265, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01759, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2014,Kepler,,,,,,,,,,,,,
Kepler-1491 b,,,,,,,,Cygne,2,1,,0,Kepler-1491,,19/34/31.14,+45/44/26.27,"ValueWithUncertainty(value=2065.59, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=15.796, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.0, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.06, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.57, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.127, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16.5861762, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0615, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.47, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00909, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.13471318, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.61, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=821.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=138.108, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02313, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
HAT-P-56 b,,,,,,,,Gémeaux,1,1,,0,HAT-P-56,,06/43/23.52,+27/15/07.86,"ValueWithUncertainty(value=320.639, error_positive=None, error_negative=None, sign=None)",F8,"ValueWithUncertainty(value=10.92, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.296, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0423, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.29, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.79083, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.132, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=82.13, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=2.31, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=734.1873, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16.92559, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.75, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1840.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3515.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2015,HATNet,,,,,,,,,,,,,
HD 17156 b,,,,,,,,Cassiopée,1,1,,0,HD 17156,,02/49/44.79,+71/45/11.12,"ValueWithUncertainty(value=78.0863, error_positive=None, error_negative=None, sign=None)",G5,"ValueWithUncertainty(value=8.17, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.41, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.19, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.37, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.16278, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.68, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=21.21663, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.08, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2454884.02817, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=87.82, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=121.32, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=3.51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1115.5833, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.3299, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.78, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=883.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=18.9464, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.53, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Radial Velocity,2007,Subaru Telescope,,,,,,,,,,,,,
